,item_id,name,category,link,price
881,70253541,AGAM,Dining furniture,https://www.ikea.com/sa/en/p/agam-junior-chair-black-70253541/,SR279
882,70487837,IDANÄS,Bookcases & shelving units,https://www.ikea.com/sa/en/p/idanaes-high-cabinet-w-gls-drs-and-1-drawer-dark-brown-stained-70487837/,"SR2,295"
883,40463055,RÅSHULT,Trolleys,https://www.ikea.com/sa/en/p/rashult-trolley-black-40463055/,SR149
884,60516821,TVÄRDRAG,Cabinets & cupboards,https://www.ikea.com/sa/en/p/tvaerdrag-cabinet-lighting-black-dimmable-60516821/,SR115
885,60538960,HATTEFJÄLL,Chairs,https://www.ikea.com/sa/en/p/hattefjaell-office-chair-with-armrests-gunnared-medium-grey-white-60538960/,SR995
886,20498904,LACK,TV & media furniture,https://www.ikea.com/sa/en/p/lack-tv-bench-black-brown-20498904/,SR399
887,40496391,IDÅSEN,Dining furniture,https://www.ikea.com/sa/en/p/idasen-shelving-unit-dark-grey-40496391/,"SR1,095"
888,20497928,NORBERG,Dining furniture,https://www.ikea.com/sa/en/p/norberg-wall-mount-drop-leaf-tbl-w-storage-white-20497928/,SR449
889,30299070,LISABO,Tables & desks,https://www.ikea.com/sa/en/p/lisabo-desk-ash-veneer-30299070/,SR995
890,80116600,LIATORP,TV & media furniture,https://www.ikea.com/sa/en/p/liatorp-tv-bench-white-80116600/,SR999
891,30483822,IDÅSEN,Tables & desks,https://www.ikea.com/sa/en/p/idasen-underframe-for-table-top-dark-grey-30483822/,SR875
892,70551319,RUNMARÖ,Bookcases & shelving units,https://www.ikea.com/sa/en/p/runmaroe-cabinet-with-doors-dark-grey-indoor-outdoor-70551319/,SR495
893,30474766,TROTTEN,Cabinets & cupboards,https://www.ikea.com/sa/en/p/trotten-cabinet-with-doors-white-30474766/,SR745
894,10424126,VEDBO,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/vedbo-armchair-gunnared-dark-grey-10424126/,"SR1,095"
895,80329791,PINNIG,Chairs,https://www.ikea.com/sa/en/p/pinnig-bench-with-shoe-storage-black-80329791/,SR345
896,50547050,MÅNHULT,Dining furniture,https://www.ikea.com/sa/en/p/manhult-chair-black-hakebo-deep-red-50547050/,SR229
897,102452,MYDAL,Beds,https://www.ikea.com/sa/en/p/mydal-bunk-bed-frame-pine-00102452/,"SR1,295"
898,80503375,LINANÄS,Sofas,https://www.ikea.com/sa/en/p/linanaes-2-seat-sofa-vissle-dark-grey-80503375/,SR995
